Filename,Category,Source,File_Size_KB,Upload_Status,Download_Date
cinematic_impacts_001.wav,Cinematic_Impacts,Synthesized (Royalty-Free),258.4,Uploaded,2026-05-24
cinematic_impacts_002.wav,Cinematic_Impacts,Synthesized (Royalty-Free),215.4,Uploaded,2026-05-24
cinematic_impacts_003.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_004.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_005.wav,Cinematic_Impacts,Synthesized (Royalty-Free),344.6,Uploaded,2026-05-24
cinematic_impacts_006.wav,Cinematic_Impacts,Synthesized (Royalty-Free),86.2,Uploaded,2026-05-24
cinematic_impacts_007.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_008.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_009.wav,Cinematic_Impacts,Synthesized (Royalty-Free),301.5,Uploaded,2026-05-24
cinematic_impacts_010.wav,Cinematic_Impacts,Synthesized (Royalty-Free),189.5,Uploaded,2026-05-24
cinematic_impacts_011.wav,Cinematic_Impacts,Synthesized (Royalty-Free),258.4,Uploaded,2026-05-24
cinematic_impacts_012.wav,Cinematic_Impacts,Synthesized (Royalty-Free),215.4,Uploaded,2026-05-24
cinematic_impacts_013.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_014.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_015.wav,Cinematic_Impacts,Synthesized (Royalty-Free),344.6,Uploaded,2026-05-24
cinematic_impacts_016.wav,Cinematic_Impacts,Synthesized (Royalty-Free),86.2,Uploaded,2026-05-24
cinematic_impacts_017.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_018.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_019.wav,Cinematic_Impacts,Synthesized (Royalty-Free),301.5,Uploaded,2026-05-24
cinematic_impacts_020.wav,Cinematic_Impacts,Synthesized (Royalty-Free),189.5,Uploaded,2026-05-24
cinematic_impacts_021.wav,Cinematic_Impacts,Synthesized (Royalty-Free),258.4,Uploaded,2026-05-24
cinematic_impacts_022.wav,Cinematic_Impacts,Synthesized (Royalty-Free),215.4,Uploaded,2026-05-24
cinematic_impacts_023.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_024.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_025.wav,Cinematic_Impacts,Synthesized (Royalty-Free),344.6,Uploaded,2026-05-24
cinematic_impacts_026.wav,Cinematic_Impacts,Synthesized (Royalty-Free),86.2,Uploaded,2026-05-24
cinematic_impacts_027.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_028.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_029.wav,Cinematic_Impacts,Synthesized (Royalty-Free),301.5,Uploaded,2026-05-24
cinematic_impacts_030.wav,Cinematic_Impacts,Synthesized (Royalty-Free),189.5,Uploaded,2026-05-24
cinematic_impacts_031.wav,Cinematic_Impacts,Synthesized (Royalty-Free),258.4,Uploaded,2026-05-24
cinematic_impacts_032.wav,Cinematic_Impacts,Synthesized (Royalty-Free),215.4,Uploaded,2026-05-24
cinematic_impacts_033.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_034.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_035.wav,Cinematic_Impacts,Synthesized (Royalty-Free),344.6,Uploaded,2026-05-24
cinematic_impacts_036.wav,Cinematic_Impacts,Synthesized (Royalty-Free),86.2,Uploaded,2026-05-24
cinematic_impacts_037.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_038.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
